,neighbors,chemical_shift
16,"[['C', 2.353225983306166, 0.245678, 6, 2.55, 12], ['O', 2.751446160569017, -0.376203, 8, 3.44, 16], ['C', 1.3437516591865644, 0.423921, 6, 2.55, 12], ['F', 2.179276129091987, -0.167571, 9, 3.98, 19], ['F', 2.174235315992347, -0.167571, 9, 3.98, 19], ['H', 2.5671772173719387, 0.0776598, 1, 2.2, 1]]",269.96
17,"[['C', 2.3637747118206276, 0.245678, 6, 2.55, 12], ['C', 2.8947585022937528, 0.423921, 6, 2.55, 12], ['F', 2.7368305649330376, -0.167571, 9, 3.98, 19], ['C', 1.3482367944535003, 0.423921, 6, 2.55, 12], ['F', 2.179276129091987, -0.167571, 9, 3.98, 19], ['F', 2.1796652579283706, -0.167571, 9, 3.98, 19], ['H', 2.594982453836008, 0.0776598, 1, 2.2, 1]]",273.084
18,"[['C', 2.3855949224334387, 0.245678, 6, 2.55, 12], ['O', 2.7411778344447515, -0.376203, 8, 3.44, 16], ['F', 2.741054837090807, -0.167571, 9, 3.98, 19], ['C', 1.3389952061626316, 0.423921, 6, 2.55, 12], ['F', 2.174235315992347, -0.167571, 9, 3.98, 19], ['F', 2.1796652579283706, -0.167571, 9, 3.98, 19]]",280.773
19,"[['C', 2.3019728631136505, 0.0971275, 6, 2.55, 12], ['N', 1.3626622406005242, -0.169663, 7, 3.04, 14], ['C', 2.301422767233492, 0.0249441, 6, 2.55, 12], ['H', 2.4387327560905496, 0.0593222, 1, 2.2, 1], ['H', 2.4849134211880197, 0.0806476, 1, 2.2, 1]]",156.85
20,"[['C', 1.3402272842969953, 0.527815, 6, 2.55, 12], ['F', 2.179786302393005, -0.14992, 9, 3.98, 19], ['F', 2.1761646551830536, -0.14992, 9, 3.98, 19], ['S', 2.6543016579441288, 0.10762, 16, 2.58, 32], ['O', 2.9785100579588466, -0.0618916, 8, 3.44, 16]]",280.273
21,"[['C', 1.3551193001880777, 0.527815, 6, 2.55, 12], ['F', 2.179786302393005, -0.14992, 9, 3.98, 19], ['F', 2.177355829324898, -0.14992, 9, 3.98, 19], ['S', 2.6485828389711927, 0.10762, 16, 2.58, 32], ['O', 2.916139418289626, -0.0618916, 8, 3.44, 16], ['H', 2.893030157199996, 0.0630659, 1, 2.2, 1]]",284.174
22,"[['C', 1.3393972679548711, 0.527815, 6, 2.55, 12], ['F', 2.1761646551830536, -0.14992, 9, 3.98, 19], ['F', 2.177355829324898, -0.14992, 9, 3.98, 19], ['S', 2.6581314740780413, 0.10762, 16, 2.58, 32], ['O', 2.9982731911425327, -0.0618916, 8, 3.44, 16]]",280.422
23,"[['C', 2.856129416369006, -0.0500811, 6, 2.55, 12], ['C', 2.3642857454270727, 0.0554468, 6, 2.55, 12], ['C', 1.3517633289146227, 0.41744, 6, 2.55, 12], ['F', 2.1796378716470945, -0.165902, 9, 3.98, 19], ['F', 2.1709582297183987, -0.165902, 9, 3.98, 19], ['H', 2.634873426655763, 0.0623044, 1, 2.2, 1]]",265.062
24,"[['C', 2.372985556006428, 0.0554468, 6, 2.55, 12], ['C', 2.7388842635538535, -0.0404138, 6, 2.55, 12], ['C', 1.3490421669447137, 0.41744, 6, 2.55, 12], ['F', 2.1796378716470945, -0.165902, 9, 3.98, 19], ['F', 2.176697345262677, -0.165902, 9, 3.98, 19], ['H', 2.4010420070256284, 0.0629722, 1, 2.2, 1]]",282.614
25,"[['C', 2.36186080216406, 0.0554468, 6, 2.55, 12], ['C', 1.3527517540715437, 0.41744, 6, 2.55, 12], ['F', 2.1709582297183987, -0.165902, 9, 3.98, 19], ['F', 2.176697345262677, -0.165902, 9, 3.98, 19]]",251.717
26,"[['C', 2.386009541745855, 0.0961378, 6, 2.55, 12], ['C', 1.3588547484136715, 0.138853, 6, 2.55, 12], ['C', 2.337380327503663, -0.00507233, 6, 2.55, 12], ['C', 2.9757488803962504, 0.339669, 6, 2.55, 12], ['O', 2.702050053491651, -0.477061, 8, 3.44, 16], ['H', 2.550475954226845, 0.0661629, 1, 2.2, 1], ['H', 1.852128805016682, 0.295409, 1, 2.2, 1]]",305.559
27,"[['C', 2.3615013551174435, 0.0906473, 6, 2.55, 12], ['C', 2.7315583448429455, -0.0333468, 6, 2.55, 12], ['C', 1.3483057945695154, 0.420079, 6, 2.55, 12], ['F', 2.1767904755599234, -0.165796, 9, 3.98, 19], ['F', 2.176079367862045, -0.165796, 9, 3.98, 19], ['H', 2.3918426638260533, 0.0632003, 1, 2.2, 1]]",278.962
28,"[['C', 2.9639518753023464, 0.135069, 6, 2.55, 12], ['C', 2.361975368156067, 0.0906473, 6, 2.55, 12], ['C', 1.3488359687827483, 0.420079, 6, 2.55, 12], ['F', 2.1767904755599234, -0.165796, 9, 3.98, 19], ['F', 2.173356027568842, -0.165796, 9, 3.98, 19], ['F', 2.8625067215454982, -0.204906, 9, 3.98, 19]]",258.919
29,"[['C', 2.967805818541004, 0.135069, 6, 2.55, 12], ['C', 2.36221800005, 0.0906473, 6, 2.55, 12], ['C', 1.349134953398841, 0.420079, 6, 2.55, 12], ['F', 2.176079367862045, -0.165796, 9, 3.98, 19], ['F', 2.173356027568842, -0.165796, 9, 3.98, 19], ['F', 2.8737087322235864, -0.204906, 9, 3.98, 19]]",258.531
30,"[['C', 2.3503024779921864, -0.0251146, 6, 2.55, 12], ['C', 1.3406027602015709, 0.135069, 6, 2.55, 12], ['C', 2.36383819606066, 0.0906473, 6, 2.55, 12], ['C', 2.8093472975204885, 0.420079, 6, 2.55, 12], ['F', 2.8625067215454982, -0.165796, 9, 3.98, 19], ['F', 2.8737087322235864, -0.165796, 9, 3.98, 19], ['H', 2.570240312728009, 0.064644, 1, 2.2, 1]]",285.333
31,"[['C', 2.3616780128048496, 0.202198, 6, 2.55, 12], ['C', 1.3375172127553654, 0.157081, 6, 2.55, 12], ['C', 2.3502116139230558, -0.0239353, 6, 2.55, 12], ['N', 2.7798753678455923, 0.0629025, 7, 3.04, 14], ['O', 2.7352435844475043, -0.125932, 8, 3.44, 16], ['H', 2.5769569621906463, 0.0646845, 1, 2.2, 1]]",301.167
32,"[['C', 2.3535114985964904, -0.0242222, 6, 2.55, 12], ['C', 1.3373079079123795, 0.141658, 6, 2.55, 12], ['C', 2.367481647014353, 0.0768532, 6, 2.55, 12], ['Cl', 2.9444986483202666, -0.0805542, 17, 3.16, 35], ['H', 2.575876498642916, 0.0646777, 1, 2.2, 1]]",287.239
33,"[['C', 2.3689881781029323, 0.0761949, 6, 2.55, 12], ['C', 1.34327722933256, 0.143354, 6, 2.55, 12], ['C', 2.3478857307351353, -0.00432817, 6, 2.55, 12], ['Cl', 2.9627721148343507, -0.0805743, 17, 3.16, 35], ['H', 2.5587837041741555, 0.0665029, 1, 2.2, 1]]",296.871
