C1C=C(N=CC=1C(=O)O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D173
C1C=C(C(=C(C=1)F)C(=O)O)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D174
C1=CC(=NC(=C1)F)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D175
COC1N=C(C=CC=1)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D176
CC1=NC(=CC=C1)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D177
C1=CC(=NC(=C1)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D178
C1=CC(=NC(=C1)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D179
CO[C@@](C1=CC=CC=C1)(C(=O)O)C(F)(F)F,Coordinates from ORCA-job ewa_inp/doublemontecarlogen3D17
C1=CC(=NC(=C1)F)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D180
C1=CC(=NC(=C1)F)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D181
C[C@@H](C1C=C(C(=CC=1)C1=CC=CC=C1)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D182
C1=CC=C(C(=C1)N)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D183
C1C=CC(=C(C=1)C=O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D184
C1C=CC(=C(C=1)C(=O)O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D185
C1C=CC(=C(C=1)C(=O)O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D186
C1C=CC(=C(C=1)C(=O)O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D187
C1C=CC(=C(C=1)C(=O)Cl)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D188
CC(=O)N[C@@H](CC1=CC=C(C=C1)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D18
C1C=CC(=C(C=1)/C=C/C(=O)O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D190
C1C=C(C(=NC=1)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D191
C1C=C(C(=NC=1)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D192
B(C1C=CC=CC=1F)(O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D193
C1=CC=C(C(=C1)NN)F.Cl,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D194
C1=CC=C(C(=C1)CC(=O)O)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D195
C1C=CN=C(C=1)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D196
C1=CC(=C(C=C1C(F)(F)F)O)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D197
C1=CC(=C(C=C1C(F)(F)F)O)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D198
C1C=C(C(=CC=1OC(F)(F)F)C(=O)O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D199
C[Si](C)(C)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D19
C1=CC=C(C(=C1)NC(=S)N)F,Coordinates from ORCA-job ewa_inp/doublemontecarlogen3D1
C1=C(C(=O)NC(=C1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D200
C1=C(C(=O)NC(=C1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D201
C1=CC=C(C(=C1)C(F)(F)F)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D202
COC1C(=CC(=CC=1)C(F)(F)F)N,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D203
CC1=NC(C(=O)O)=C(O1)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D204
C1=CC(=NC=C1Cl)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D205
C1C=C(C(=CC=1C(F)(F)F)N(=O)=O)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D206
C1C=C(N=C(C=1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D207
