,neighbors,chemical_shift
79,"[['C', 1.342312860859887, 0.423921, 6, 2.55, 12]]",276.598
80,"[['C', 1.3426288754342486, 0.423921, 6, 2.55, 12]]",271.376
81,"[['C', 1.3531543706236995, 0.423921, 6, 2.55, 12]]",284.645
82,"[['C', 1.3522461565944328, 0.423921, 6, 2.55, 12]]",284.726
83,"[['C', 1.3423792295412118, 0.423921, 6, 2.55, 12]]",272.171
84,"[['C', 1.3429307153769037, 0.423921, 6, 2.55, 12]]",275.508
85,"[['C', 1.3368301817980306, 0.155321, 6, 2.55, 12]]",307.485
86,"[['C', 1.3386991955878638, 0.142394, 6, 2.55, 12]]",292.724
87,"[['C', 1.332589907154081, 0.140229, 6, 2.55, 12]]",284.79
88,"[['C', 1.3564947183963725, 0.158341, 6, 2.55, 12], ['H', 1.8322447444168541, 0.29541, 1, 2.2, 1]]",306.661
89,"[['C', 1.3520124620897185, 0.161172, 6, 2.55, 12]]",321.294
90,"[['C', 1.3528853782725925, 0.420124, 6, 2.55, 12]]",246.599
91,"[['C', 1.341449470764362, 0.420124, 6, 2.55, 12]]",276.035
92,"[['C', 1.3541670815364113, 0.420124, 6, 2.55, 12]]",262.792
93,"[['C', 1.341773414630382, 0.135158, 6, 2.55, 12]]",296.274
94,"[['C', 1.350584769057674, 0.0, 6, 2.55, 12]]",292.218
95,"[['C', 1.3633083529532624, 0.123445, 6, 2.55, 12]]",304.452
96,"[['C', 1.3485727696267062, 0.417524, 6, 2.55, 12]]",252.077
97,"[['C', 1.3484434135285868, 0.417524, 6, 2.55, 12]]",262.894
98,"[['C', 1.3471533272071023, 0.417524, 6, 2.55, 12]]",281.746
99,"[['C', 1.3580969634337097, 0.164588, 6, 2.55, 12]]",330.796
100,"[['C', 1.3376143650036978, 0.143778, 6, 2.55, 12]]",292.051
101,"[['C', 1.3503564155857237, 0.417465, 6, 2.55, 12]]",256.595
102,"[['C', 1.3472945340951967, 0.417465, 6, 2.55, 12]]",283.963
103,"[['C', 1.3503231088339709, 0.417465, 6, 2.55, 12]]",256.929
104,"[['C', 1.3516004393788943, 0.123661, 6, 2.55, 12]]",298.353
105,"[['C', 1.3376748657843667, 0.163422, 6, 2.55, 12]]",316.222
