,neighbors,chemical_shift
0,"[['C', 2.7975500438315746, 0.0326942, 6, 2.55, 12], ['C', 2.357766508827086, 0.127568, 6, 2.55, 12], ['N', 3.581329062800395, -0.324069, 7, 3.04, 14], ['C', 4.726815177067689, 0.194039, 6, 2.55, 12], ['C', 4.271132734798263, 0.27498, 6, 2.55, 12], ['C', 1.3373830456173676, 0.432466, 6, 2.55, 12], ['F', 2.187842892100996, -0.164497, 9, 3.98, 19], ['F', 2.176435706576424, -0.164497, 9, 3.98, 19], ['H', 2.5319663912111356, 0.0692478, 1, 2.2, 1], ['H', 3.8316233133578597, 0.168506, 1, 2.2, 1]]",283.041
1,"[['C', 3.5304365498485772, 0.0326942, 6, 2.55, 12], ['C', 2.348366238085928, 0.127568, 6, 2.55, 12], ['N', 2.7245876935957254, -0.324069, 7, 3.04, 14], ['C', 4.063277809793618, 0.194039, 6, 2.55, 12], ['N', 4.870521680037088, -0.177516, 7, 3.04, 14], ['C', 4.718932589105099, 0.27498, 6, 2.55, 12], ['N', 4.828848701640041, -0.328888, 7, 3.04, 14], ['C', 1.3591821356720823, 0.432466, 6, 2.55, 12], ['F', 2.187842892100996, -0.164497, 9, 3.98, 19], ['F', 2.1719631960068235, -0.164497, 9, 3.98, 19], ['H', 3.909605468174647, 0.0692478, 1, 2.2, 1], ['H', 2.3735084801271706, 0.168506, 1, 2.2, 1], ['H', 4.807647959486513, 0.1451, 1, 2.2, 1]]",278.103
2,"[['C', 3.326106135808966, 0.0326942, 6, 2.55, 12], ['C', 2.360541680837183, 0.127568, 6, 2.55, 12], ['N', 2.9901888880823386, -0.324069, 7, 3.04, 14], ['C', 4.248161889709499, 0.194039, 6, 2.55, 12], ['N', 4.884511818210754, -0.177516, 7, 3.04, 14], ['C', 4.580197327115953, 0.27498, 6, 2.55, 12], ['C', 1.3492619904787477, 0.432466, 6, 2.55, 12], ['F', 2.176435706576424, -0.164497, 9, 3.98, 19], ['F', 2.1719631960068235, -0.164497, 9, 3.98, 19], ['H', 3.557165896012956, 0.0692478, 1, 2.2, 1], ['H', 3.0434786682737096, 0.168506, 1, 2.2, 1]]",261.239
3,"[['C', 4.971383447251878, 0.0, 6, 2.55, 12], ['C', 4.611021376332918, 0.0, 6, 2.55, 12], ['C', 3.4423048522769704, 0.0, 6, 2.55, 12], ['C', 2.366177255157401, 0.0, 6, 2.55, 12], ['C', 2.965652331654693, 0.0, 6, 2.55, 12], ['C', 4.266286436882696, 0.0, 6, 2.55, 12], ['C', 1.3543952614878, 0.0, 6, 2.55, 12], ['F', 2.169738585295516, 0.0, 9, 3.98, 19], ['F', 2.176943903839101, 0.0, 9, 3.98, 19], ['H', 3.679602845160323, 0.0, 1, 2.2, 1], ['H', 2.850980551034335, 0.0, 1, 2.2, 1], ['H', 4.986927055046276, 0.0, 1, 2.2, 1]]",255.713
4,"[['C', 4.966112374121539, 0.0, 6, 2.55, 12], ['C', 4.633112283346078, 0.0, 6, 2.55, 12], ['C', 3.475614725833723, 0.0, 6, 2.55, 12], ['C', 2.3631752499454284, 0.0, 6, 2.55, 12], ['C', 2.9200314043962594, 0.0, 6, 2.55, 12], ['C', 4.23325285235989, 0.0, 6, 2.55, 12], ['C', 1.3543463981464139, 0.0, 6, 2.55, 12], ['F', 2.169738585295516, 0.0, 9, 3.98, 19], ['F', 2.1789536967396304, 0.0, 9, 3.98, 19], ['H', 3.7370188647705, 0.0, 1, 2.2, 1], ['H', 2.7677408472251437, 0.0, 1, 2.2, 1], ['H', 4.938498578588389, 0.0, 1, 2.2, 1]]",257.689
5,"[['C', 4.143887299109912, 0.0, 6, 2.55, 12], ['C', 2.7491377015098575, 0.0, 6, 2.55, 12], ['C', 2.3780730357842796, 0.0, 6, 2.55, 12], ['C', 3.6596896739821716, 0.0, 6, 2.55, 12], ['C', 4.791477169823831, 0.0, 6, 2.55, 12], ['C', 1.3507294115684478, 0.0, 6, 2.55, 12], ['F', 2.176943903839101, 0.0, 9, 3.98, 19], ['F', 2.1789536967396304, 0.0, 9, 3.98, 19], ['H', 4.778168212063308, 0.0, 1, 2.2, 1], ['H', 2.396420872855692, 0.0, 1, 2.2, 1], ['H', 4.0113148239532475, 0.0, 1, 2.2, 1]]",285.179
6,"[['C', 4.2825455788112645, 0.0384596, 6, 2.55, 12], ['C', 4.933498428671967, -0.0495693, 6, 2.55, 12], ['C', 4.578106542498988, -0.0605137, 6, 2.55, 12], ['C', 3.401609845869873, -0.0500792, 6, 2.55, 12], ['C', 2.3628586974978587, 0.0555249, 6, 2.55, 12], ['C', 2.9947263920180447, -0.0379572, 6, 2.55, 12], ['C', 1.3527547495811045, 0.417441, 6, 2.55, 12], ['F', 2.177159594229946, -0.165902, 9, 3.98, 19], ['F', 2.1701333219140793, -0.165902, 9, 3.98, 19], ['H', 3.620522400469781, 0.0623044, 1, 2.2, 1], ['H', 2.9450498963012577, 0.063051, 1, 2.2, 1]]",253.194
7,"[['C', 4.794239461773868, 0.0384596, 6, 2.55, 12], ['C', 4.981447418160297, -0.0495693, 6, 2.55, 12], ['C', 4.137104534739707, -0.0605137, 6, 2.55, 12], ['C', 2.742305664796875, -0.0500792, 6, 2.55, 12], ['C', 2.3745843585056514, 0.0555249, 6, 2.55, 12], ['C', 3.651607000014025, -0.0379572, 6, 2.55, 12], ['C', 1.3507899256570302, 0.417441, 6, 2.55, 12], ['F', 2.177159594229946, -0.165902, 9, 3.98, 19], ['F', 2.1791458849767777, -0.165902, 9, 3.98, 19], ['H', 4.774357449592357, 0.0617895, 1, 2.2, 1], ['H', 2.3900342258457967, 0.0623044, 1, 2.2, 1], ['H', 4.026402154919387, 0.063051, 1, 2.2, 1]]",284.326
8,"[['C', 4.230291712415138, 0.0384596, 6, 2.55, 12], ['C', 4.953536800399619, -0.0495693, 6, 2.55, 12], ['C', 4.661916551362566, -0.0605137, 6, 2.55, 12], ['C', 3.505118995359612, -0.0500792, 6, 2.55, 12], ['C', 2.3648153359593347, 0.0555249, 6, 2.55, 12], ['C', 2.891972210696229, -0.0379572, 6, 2.55, 12], ['C', 1.3511255452865618, 0.417441, 6, 2.55, 12], ['F', 2.1701333219140793, -0.165902, 9, 3.98, 19], ['F', 2.1791458849767777, -0.165902, 9, 3.98, 19], ['H', 3.7782578580496398, 0.0623044, 1, 2.2, 1], ['H', 2.7276328407955894, 0.063051, 1, 2.2, 1]]",260.91
9,"[['C', 4.216743442964962, -0.0609, 6, 2.55, 12], ['C', 4.9481419400150495, -0.0563736, 6, 2.55, 12], ['C', 4.677787395838838, -0.0216559, 6, 2.55, 12], ['C', 3.511309562390873, -0.0447594, 6, 2.55, 12], ['C', 2.3658416229682016, 0.055139, 6, 2.55, 12], ['C', 2.8859160377952255, -0.0501003, 6, 2.55, 12], ['C', 1.3540229033908904, 0.41743, 6, 2.55, 12], ['F', 2.178469086760505, -0.165903, 9, 3.98, 19], ['F', 2.1697798668162664, -0.165903, 9, 3.98, 19], ['H', 4.912733247255146, 0.061779, 1, 2.2, 1], ['H', 3.7989607066939097, 0.0626476, 1, 2.2, 1], ['H', 2.6974549661187273, 0.0623042, 1, 2.2, 1]]",261.235
10,"[['C', 4.783722923516319, -0.0609, 6, 2.55, 12], ['C', 4.97273341337996, -0.0563736, 6, 2.55, 12], ['C', 4.137709550597475, -0.0216559, 6, 2.55, 12], ['C', 2.7398993846675945, -0.0447594, 6, 2.55, 12], ['C', 2.37527222657017, 0.055139, 6, 2.55, 12], ['C', 3.6548538967742235, -0.0501003, 6, 2.55, 12], ['C', 1.3499696524805067, 0.41743, 6, 2.55, 12], ['F', 2.178469086760505, -0.165903, 9, 3.98, 19], ['F', 2.176620670150193, -0.165903, 9, 3.98, 19], ['O', 4.82991220587165, -0.390416, 8, 3.44, 16], ['H', 2.3985945494735077, 0.0626476, 1, 2.2, 1], ['H', 4.0110293700468995, 0.0623042, 1, 2.2, 1], ['H', 4.73370678375723, 0.209847, 1, 2.2, 1]]",283.699
11,"[['C', 4.29806278746622, -0.0609, 6, 2.55, 12], ['C', 4.936631787434826, -0.0563736, 6, 2.55, 12], ['C', 4.580046433808306, -0.0216559, 6, 2.55, 12], ['C', 3.389577590342582, -0.0447594, 6, 2.55, 12], ['C', 2.366187010209088, 0.055139, 6, 2.55, 12], ['C', 3.015199422941624, -0.0501003, 6, 2.55, 12], ['C', 1.354001158906901, 0.41743, 6, 2.55, 12], ['F', 2.1697798668162664, -0.165903, 9, 3.98, 19], ['F', 2.176620670150193, -0.165903, 9, 3.98, 19], ['H', 3.6078142938624453, 0.0626476, 1, 2.2, 1], ['H', 2.9526927913483583, 0.0623042, 1, 2.2, 1]]",252.97
12,"[['C', 3.6238123534841944, -0.0554192, 6, 2.55, 12], ['C', 2.3606846983429177, -0.0261829, 6, 2.55, 12], ['C', 1.3478999402707328, 0.12342, 6, 2.55, 12], ['C', 2.3597846157575235, -0.0261829, 6, 2.55, 12], ['C', 3.624579782626351, -0.0554192, 6, 2.55, 12], ['C', 4.1281033204663045, -0.038866, 6, 2.55, 12], ['H', 4.503549933791038, 0.062126, 1, 2.2, 1], ['H', 2.5931316116771357, 0.0646193, 1, 2.2, 1], ['H', 2.592235464861978, 0.0646193, 1, 2.2, 1], ['H', 4.502877696452244, 0.062126, 1, 2.2, 1]]",295.621
13,"[['C', 2.3408127518250894, 0.245678, 6, 2.55, 12], ['O', 2.7070271657704845, -0.376203, 8, 3.44, 16], ['C', 1.3591010287200345, 0.423921, 6, 2.55, 12], ['F', 2.1771356392517567, -0.167571, 9, 3.98, 19], ['F', 2.183327957447803, -0.167571, 9, 3.98, 19], ['C', 3.715584372663871, 0.423921, 6, 2.55, 12], ['F', 4.693641474364635, -0.167571, 9, 3.98, 19], ['F', 4.168247954835903, -0.167571, 9, 3.98, 19], ['F', 4.171965776351413, -0.167571, 9, 3.98, 19], ['H', 2.6418707090457443, 0.0776598, 1, 2.2, 1], ['H', 2.3062792600744357, 0.210447, 1, 2.2, 1]]",277.851
14,"[['C', 2.3989887905710066, 0.245678, 6, 2.55, 12], ['O', 2.900018089164471, -0.376203, 8, 3.44, 16], ['C', 1.33830136263281, 0.423921, 6, 2.55, 12], ['F', 2.1771356392517567, -0.167571, 9, 3.98, 19], ['F', 2.1781826425377773, -0.167571, 9, 3.98, 19], ['C', 2.927179654530489, 0.423921, 6, 2.55, 12], ['F', 4.195240965312258, -0.167571, 9, 3.98, 19], ['F', 3.3149157374838816, -0.167571, 9, 3.98, 19], ['F', 2.741054837090807, -0.167571, 9, 3.98, 19], ['H', 3.288744191124309, 0.0776598, 1, 2.2, 1], ['H', 3.1362931678289883, 0.210447, 1, 2.2, 1]]",282.828
15,"[['C', 2.385151070882526, 0.245678, 6, 2.55, 12], ['O', 3.590298808774045, -0.376203, 8, 3.44, 16], ['C', 1.3425346706793235, 0.423921, 6, 2.55, 12], ['F', 2.183327957447803, -0.167571, 9, 3.98, 19], ['F', 2.1781826425377773, -0.167571, 9, 3.98, 19], ['C', 3.0365037148005993, 0.423921, 6, 2.55, 12], ['F', 4.202985958877923, -0.167571, 9, 3.98, 19], ['F', 2.7368305649330376, -0.167571, 9, 3.98, 19], ['F', 3.6581938799168285, -0.167571, 9, 3.98, 19], ['H', 2.531285967687209, 0.0776598, 1, 2.2, 1], ['H', 3.737093317967265, 0.210447, 1, 2.2, 1]]",274.583
16,"[['C', 2.353225983306166, 0.245678, 6, 2.55, 12], ['O', 2.751446160569017, -0.376203, 8, 3.44, 16], ['C', 3.722998353900585, 0.423921, 6, 2.55, 12], ['F', 4.693641474364635, -0.167571, 9, 3.98, 19], ['F', 4.195240965312258, -0.167571, 9, 3.98, 19], ['F', 4.202985958877923, -0.167571, 9, 3.98, 19], ['C', 1.3437516591865644, 0.423921, 6, 2.55, 12], ['F', 2.179276129091987, -0.167571, 9, 3.98, 19], ['F', 2.174235315992347, -0.167571, 9, 3.98, 19], ['H', 2.5671772173719387, 0.0776598, 1, 2.2, 1], ['H', 3.631066794230536, 0.210447, 1, 2.2, 1]]",269.96
